id,status,Sends,Opens,Clicks,lifetodategiving,yeartodategiving,lastgiftamount,lastgiftdate,ContactType,MonetaryTier,DonorStatus,IndividualDonorType,Tier3Classification
89ce7fad62fd5b95aaadaa1edb786cc0,subscribed,112,3,2,200,0,200,4/23/2020,Donor,Diamond,SingleDonor,Single Donor,Single Donor
778fdf5a21efed6e372e0e0bc159f92d,subscribed,112,112,3,50,0,50,4/23/2020,Donor,Gold,SingleDonor,Single Donor,Single Donor
778fdf5a21efed6e372e0e0bc159f92d,subscribed,112,112,3,50,0,50,4/23/2020,Donor,Gold,SingleDonor,Single Donor,Single Donor
cec49095c9aef6252fbd30aae5345792,subscribed,112,29,2,200,0,200,4/23/2020,Donor,Diamond,SingleDonor,Single Donor,Single Donor
778fdf5a21efed6e372e0e0bc159f92d,subscribed,112,112,3,50,0,50,4/23/2020,Donor,Gold,SingleDonor,Single Donor,Single Donor
6f6f6b553e98c17511288f863d274e4c,subscribed,113,42,0,0,0,0,4/24/2020,Donor,Platinum,SingleDonor,Single Donor,Single Donor
c7c9e65b8729d427e68e71a209e8a0be,subscribed,112,43,3,200,0,200,4/24/2020,Donor,Diamond,SingleDonor,Single Donor,Single Donor
6f6f6b553e98c17511288f863d274e4c,subscribed,113,42,0,0,0,0,4/24/2020,Donor,Platinum,SingleDonor,Single Donor,Single Donor
85be7b6d968ac99800091726b107c887,unsubscribed,35,6,0,25,0,25,4/25/2020,Donor,Silver,SingleDonor,Single Donor,Single Donor
3ef677e12ddbc72a17996990f8da6202,subscribed,113,25,2,120,0,120,4/25/2020,Donor,Diamond,SingleDonor,Single Donor,Single Donor
4e398381132c05c838eab0ca80389fe6,subscribed,113,139,4,100,0,100,4/25/2020,Donor,Diamond,SingleDonor,Single Donor,Single Donor
d46b6cde82cc675bb5cbd1fa4cfe176c,subscribed,114,93,0,50,0,50,4/25/2020,Donor,Gold,SingleDonor,Single Donor,Single Donor
79ece5ac66ccad8e13ac7d2b3e10d4a1,subscribed,112,181,1,15,0,15,4/25/2020,Donor,Silver,SingleDonor,Single Donor,Single Donor
3039afd00fd3a6c4e94c3512500c86ef,subscribed,113,0,0,100,0,100,4/25/2020,Donor,Diamond,SingleDonor,Single Donor,Single Donor
