campaign_id,EmailSendDate,campaign_title,subject_line
5db10caef0,9/1/2022,#106 Recurring Membership Email Ad,Join our New Community of Monthly Givers
b65e3f8c87,8/19/2022,#105 Generosity Crisis BOTTOM BUTTON,Individual Giving: Why  we need you.
94c82f9011,8/19/2022,#105 Generosity Crisis TOP BUTTON,Individual Giving: Why  we need you.
c7491f32d6,8/19/2022,#105 Generosity Crisis TOP BOTTOM BUTTON,Individual Giving: Why  we need you.
c4e4a41cf3,8/12/2022,#104 FARM LABOR SHORTAGE BOTTOM BUTTON TEST A,There's a huge issue... Farm Labor Shortages
4ae6a355ec,8/5/2022,#103 Every Minute Food Waste BOTTOM TEST A,"In one minute, 2 million pounds of food will go to waste."
6cb147b908,8/5/2022,#103 Every Minute Food Waste TOP TEST B,"In one minute, 2 million pounds of food will go to waste."
1b82f566f3,7/29/2022,#102 INTERNATIONAL OPS (DONATE BUTTON ON TOP),Farmlink's International Expansion
9a7c5fb135,7/29/2022,#102 INTERNATIONAL OPS (DONATE BUTTON ON BOTTOM),Farmlink's International Expansion
9426088cec,7/22/2022,#101 PEER-TO-PEER CAMPAIGN,how to use hot wings to raise money...
66b0fdea5f,7/22/2022,#101 PEER-TO-PEER CAMPAIGN GROUP B,"From Coast-to-Coast, Farmlinkers Connect Peer-to-Peer"
0ae48e55ba,7/8/2022,#100 Day in The Life (Thea) GROUP A,Day in the Life of a Farmlinker- Thea Petrovich
32be2dda67,7/8/2022,#100 Day in The Life (Thea) GROUP B,She was Single Handedly Responsible for Onboarding 60+ New Fellows...
0fd4b59e8f,7/1/2022,"#99 White House has held a conference on Hunger, Nutrition, and Health (group a)","We're hosting a White House Listening Session on Hunger, Nutrition, and Health!"
e863cf648c,7/1/2022,"#99 White House has held a conference on Hunger, Nutrition, and Health (group b)",What is the White House doing about food insecurity?!
f3fec0c3b7,6/23/2022,#98 Day in The Life (HONOR),Day in the Life of a Farmlinker- Honor Zetzer
5c5b1b7df2,6/23/2022,#98 Day in The Life (HONOR) group B,A look into her day...
3744c218fd,6/17/2022,#97 Bananas in Mexico,Millions of bananas were going to waste...
85c4386802,6/9/2022,#96 Charles Mcbryde in Ukraine,"Meet Charles, Former Brand Director on the ground in Ukraine"
34c1e3f440,6/2/2022,#95 Gardening,Thyme to start planting! Farmlink Gardening Tips
055d69f87d,5/27/2022,#94 Navajo Nation Kate & Owen,It takes 4 hours to get to the grocery store here
046bc79d31,5/19/2022,#93 Gas Prices and Food Movement,Gas Prices and Food Movement
3e5cc9b6cf,5/16/2022,Donation Button Resolicit ROUND TWO,We're the Farmlink Project.
23bb49343a,5/12/2022,#92 The Farmlink Podcast Announcement,How a Non-Profit Begins
6d6216a039,5/6/2022,#90 mothers day,Thanking our Mothers!
6809e33f37,4/28/2022,#90 Luis Yepiz FOF,"Meet Luis: Farmlink’s Activist, Singer, Writer, and Chief Procurement Officer."
b7ca0da7ce,4/22/2022,#89 Earth Day,Happy Earth Day from The Farmlink Project!
5633a8cfb4,4/19/2022,#87 The Farmlink Project Turns 2!,Happy Birthday to The Farmlink Project!
a966ee752a,4/14/2022,#86 Cryptocurrency Donation Announcement,The Farmlink Project is now Accepting Cryptocurrency!
8f285ecb38,3/31/2022,Reminder! The Farmlink Project's April 1st Roundtable,Reminder! The Farmlink Project's April 1st Roundtable
8489c9e32d,3/29/2022,You're Invited! The Farmlink Project's April 1st Roundtable,You're Invited! The Farmlink Project's April 1st Roundtable
b2287bf4fd,3/24/2022,#85 Farmlink Meets Ellen!,The Farmlink Project Meets Ellen!
afaafbb280,3/17/2022,#84 St. Patricks Day,Happy St. Patrick's Day!
a486fe0721,3/17/2022,Donation Button Resolicit,Donation Push
50396951a7,3/11/2022,#83 Day in The Life (Margaret),A Day in the Life as a Farmlinker
42128fb1a6,3/1/2022,#82 International Women's Day,Women’s History month and our Second Roundtable Discussion!
aaa8b769ec,2/22/2022,#81 A look at our Growth Projects,A look at our Growth Projects
83baf7eb6b,2/14/2022,valentines,Peas be my Valentine?
20605b2be5,2/11/2022,#80 Become a Farmlinker (copy 01),Become a Summer Farmlinker!
efc1e6c53c,2/2/2022,#79 BHM,Recognizing Black History Month
18fc5a2b88,1/28/2022,#79 Policy,An Inside Look at Our Policy Team
1513781552,1/21/2022,#78 MLK,Martin Luther King Jr. Day and the Foundations of America’s Food System
00266bb6a9,1/14/2022,#77 Walk-a-thon,K-12 Students raise money for The Farmlink Project through school Walk-a-Thon
44f183db2e,1/4/2022,#76 Carbon Offsets,Make 2022 the Year You Go Carbon Neutral!
71bbb1f324,12/30/2021,LAST CALL Year-End Appeal,Last call to give to The Farmlink Project before the ball (and gift match) drops!
ab9b99db17,12/23/2021,#74 Year-End Appeal,8 Days Left to Make Your Year-End Gift to The Farmlink Project!
2182babbcc,12/17/2021,#73 Food Insecurity During the Holidays,Food Insecurity During the Holiday Season
fed86d9206,12/9/2021,#72 Farmlinkers Favorite Food Banks,Giving Thanks to Our Food Banks
cb474333fd,12/6/2021,2021 Chipotle Promotion Announcement,Chipotle and The Farmlink Project are Back!
0871ced705,11/30/2021,Recurring Donor Migration Part 4,Your Recurring Donation Will Be Cancelled Tomorrow
d132db1a06,11/30/2021,#71 Giving Tues,It's Giving Tuesday!
d70ae378ac,11/25/2021,Recurring Donor Migration Part 3,One week left to continue your recurring donation to The Farmlink Project!
2bc5b82754,11/23/2021,Donor Migration non-recurring donors 1st send.,If You Wish to Continue Giving To The Farmlink Project…
2d53d67285,11/22/2021,#70,Happy Thanksgiving from The Farmlink Project!
3ea734b5fa,11/18/2021,#69 Carbon Offsets,Introducing Carbonlink: The Farmlink Project's Carbon Offset Program!
7cbcc54391,11/15/2021,Recurring Donor Migration PART 2,We've Moved — Set Up Your New Recurring Donation Today!
5f5d4b1af2,11/9/2021,#68 Giving Tuesday Campaign Pt. 2,Giving Thanks and Giving Back
0459f3f980,11/2/2021,Recurring Donor Migration,We've Moved — Set Up Your New Recurring Donation Today!
83fe1d38ae,11/1/2021,#67 Giving Tuesday Campaign Launch,Help Us Deliver On a Food-Secure Holiday Season and Beyond!
667b5d51c4,10/28/2021,#66 Policy Advocacy at the United Fresh Conference,The Farmlink Project Takes Capitol Hill
6592200ac7,10/14/2021,#65 Celebrating Indigenous Peoples' Day,Celebrating Indigenous Peoples' Day
