giftid,GiftDate,DonationAmount,gifttype,id
11,8/31/2021,26.06,Credit,dcd42c1daa7536b608107306772f3f17
12,8/31/2021,10.6,Credit,45e564e8efa94ffe97fcb67b018000d5
12,8/31/2021,10.6,Credit,45e564e8efa94ffe97fcb67b018000d5
12,8/31/2021,10.6,Credit,04fb1f4fc42ac08c9ad1e08bda269f98
14,8/31/2021,51.8,Credit,cc9bda0b9c76afce7bab4f867c1d4f86
26,7/31/2021,51.8,Credit,86582665ee02455f7630da5c29d304fb
27,7/31/2021,50,Credit,de033fadb1925504c5e623282e7248bb
111,10/2/2021,154.78,Credit,883afdbfa7142888ef673d67f9bd6e31
112,9/30/2021,4119.57,Credit,5808935279cdf2aada1e190f9172c4b2
117,9/25/2021,26.06,Credit,356f04e11473176fdd5be9cbd77b2b92
118,9/26/2021,51.8,Credit,79fc7364feb608514949da4c452a18ef
122,10/10/2021,206.27,Credit,319744870d88a4dbc8d590103fa0506b
124,10/12/2021,26.06,Credit,3e4e0ec4c398459749bd9f73a29129d8
129,10/19/2021,5.46,Credit,085f9b386ba5aba740445919313a835b
160,11/1/2021,412.23,Credit,883afdbfa7142888ef673d67f9bd6e31
167,12/19/2020,103.4,EFT,ce05caacb909c19d0791dd8eeeee3a5a
168,12/19/2020,103.4,EFT,325510a74ca2aa3426fb9d1f48305737
169,12/19/2020,51.7,EFT,db567764d47422797d974169d2f1eb02
171,12/19/2020,517,EFT,588fc1b85c1a7f621f293c589920cc7c
172,12/19/2020,517,EFT,c39ebc5f5b3d311d0e5af8363577c424
174,12/20/2020,150,EFT,19737c8ec7946e1e3c2b7f541df45275
175,12/20/2020,103.4,EFT,699acbfe258e86e8b81fe62627d91b71
176,12/20/2020,103.4,EFT,a863c4fd684a3236459438b0859dd3c8
177,12/20/2020,51.7,EFT,7c53e2923990a571d67a0702597fffb3
180,12/21/2020,258.5,EFT,a57e5cea8eaf68c6aea2a9fa4b438c83
181,12/21/2020,103.4,EFT,dd1bb49f4915582b94f998470a835df8
184,12/21/2020,25.85,EFT,de6c8a495af4918f663fec82c230e19c
187,12/21/2020,51.7,EFT,3d05e5f9193520d2a6503229bdb40a99
188,12/21/2020,51.7,EFT,e6c3532ec5b5c1c820ae4d738d464010
189,12/21/2020,103.4,EFT,a863c4fd684a3236459438b0859dd3c8
191,12/21/2020,103.4,EFT,847af2d76c09fae1e634fce721d244c1
191,12/21/2020,103.4,EFT,847af2d76c09fae1e634fce721d244c1
2987,3/18/2021,25.85,Credit,545987e968aba9b3eb4a3b8090321fb2
2988,3/18/2021,103.4,Credit,4253af7ae98c3cef6fae2fb52cc43232
2993,3/18/2021,20.68,Credit,cd39772a35343504f3ce5d44f2512515
3000,3/18/2021,20.68,Credit,79f8adc1f32166df4754de6120e05d2d
3002,3/18/2021,31.02,Credit,eeac0d7b48fb9ba42ed3263caeadde60
3004,3/18/2021,103.4,Credit,0f3b3a3151eb145df3c03ac6c90d0e12
3009,3/18/2021,25.85,Credit,1121164ded95e3357bff8bfe490f9a90
3012,3/18/2021,103.4,Credit,f2a682e0bfce0ea6a52b0e15f592d8d9
3013,3/18/2021,10.34,Credit,e8fdc8f8ecc8addead56b7caeaa3fb09
3017,3/18/2021,103.4,Credit,c743222897e44293ef6eef36aa5e23f0
3023,3/18/2021,103.4,Credit,3b7d7b317718711fe475796017021411
